"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
9079, 1.126308207400000e+00, 1.588155207000000e+00, 3.146907707400000e-02, 4.247714937131656e+00, -4.331415543081150e-01, 3.944004568668518e-01
9491, 1.118854103200000e+00, 1.575716644100000e+00, 2.933372050000000e-02, 4.550271606847183e+00, 1.719717851229383e-01, 3.855413967662834e-01
26, 2.743583578900000e+00, 2.664963024200000e+00, 2.260255295000000e-01, 4.507497768830831e+00, 8.642410909023468e-02, 3.130507172122776e-01
27, 2.758604737200000e+00, 2.647762962600000e+00, 2.311336502900000e-01, 4.665494199460752e+00, 4.024169703500764e-01, 3.097569388910860e-01
28, 2.740892085900000e+00, 2.644363935900000e+00, 2.255163402500000e-01, 4.458144236932887e+00, -1.228295470565222e-02, 3.181039880869243e-01
9638, 2.761592025200000e+00, 2.660869147500000e+00, 2.318562087200000e-01, 4.590684307804706e+00, 2.527971870379844e-01, 3.007534109755901e-01
4712, 2.723551993700000e+00, 2.657858137000000e+00, 2.198302561700000e-01, 4.568955752595305e+00, 2.093400766191831e-01, 3.186908865793543e-01
2138, 2.728236207400000e+00, 2.681508135000000e+00, 2.209404731400000e-01, 4.493437998043254e+00, 5.830456751507995e-02, 3.250760094248031e-01
2139, 2.748128798300000e+00, 2.688266231400000e+00, 2.270816616100000e-01, 4.469729068197942e+00, 1.088670782445789e-02, 3.051576869950858e-01
9661, 2.757027213100000e+00, 2.674296362500000e+00, 2.301492808500000e-01, 4.608199543335185e+00, 2.878276580989425e-01, 3.020563968494263e-01
8479, 2.755765193400000e+00, 2.632877790700000e+00, 2.304923879300000e-01, 4.525711199885858e+00, 1.228509712002896e-01, 3.175997701189038e-01
8394, 2.778791595400000e+00, 2.654401111900000e+00, 2.375697019900000e-01, 4.424963991300242e+00, -7.864344597094330e-02, 2.944945424123425e-01
8395, 2.770300859600000e+00, 2.635750798800000e+00, 2.351626130800000e-01, 4.714840718975184e+00, 5.011100093789409e-01, 3.045705942309870e-01
7908, 2.726231758100000e+00, 2.634393349000000e+00, 2.210355571200000e-01, 4.458388214696948e+00, -1.179499917753191e-02, 3.319790924004503e-01
5903, 2.742796802800000e+00, 2.625351888000000e+00, 2.264546735900000e-01, 4.555702612813271e+00, 1.828337970551157e-01, 3.314500637359571e-01
29, 1.144583069700000e+00, 1.635529667700000e+00, 4.939770081100000e-02, 4.415942823486642e+00, -9.668578159814345e-02, 3.908464588727562e-01
30, 1.144815765500000e+00, 1.651741962800000e+00, 6.363825041899999e-02, 4.564771561555718e+00, 2.009716945400086e-01, 3.524522220282331e-01
31, 1.159239916600000e+00, 1.652969175600000e+00, 4.832309047400000e-02, 4.281890958791571e+00, -3.647895109882846e-01, 3.971218685395286e-01
1817, 1.132520447300000e+00, 1.638316667600000e+00, 6.666191606400000e-02, 4.443660950990478e+00, -4.124952659047132e-02, 3.293843563613807e-01
9253, 1.161208778900000e+00, 1.641315200600000e+00, 3.804649842200000e-02, 4.172843789071959e+00, -5.828838504275087e-01, 4.164629857827683e-01
6822, 1.130839348200000e+00, 1.624072602200000e+00, 5.485296722700000e-02, 4.336403777398366e+00, -2.557638737746952e-01, 3.801513122250816e-01
2637, 1.155261751400000e+00, 1.625045325000000e+00, 3.214493302100000e-02, 4.308929884138291e+00, -3.107116602948441e-01, 4.329983779044960e-01
2638, 1.138542391500000e+00, 1.617362596800000e+00, 4.128734993400000e-02, 4.468958138758561e+00, 9.344848945694650e-03, 3.985931764017159e-01
2333, 1.159135831000000e+00, 1.667198979800000e+00, 6.039160613300000e-02, 4.566688349452138e+00, 2.048052703328498e-01, 3.517004316983534e-01
3253, 1.132129930000000e+00, 1.648608949400000e+00, 7.968123750200000e-02, 5.121303673970806e+00, 1.314035919370186e+00, 3.086017955421037e-01
8555, 1.147764266000000e+00, 1.664668273600000e+00, 7.323733641400000e-02, 4.533702955637410e+00, 1.388344827033929e-01, 3.218164868913859e-01
3254, 1.138344220400000e+00, 1.659562673200000e+00, 8.309330864099999e-02, 5.081743334600895e+00, 1.234915240630363e+00, 2.932411806304333e-01
2142, 1.173377593900000e+00, 1.669665539100000e+00, 4.734243412500000e-02, 4.166363445221164e+00, -5.958445381291000e-01, 4.094276554053073e-01
2143, 1.177009990700000e+00, 1.654831904800000e+00, 3.408841499000000e-02, 4.059732393846138e+00, -8.091066408791505e-01, 4.582747069701941e-01
32, 2.158470552300000e+00, 4.104225251300000e-01, 8.009347194800000e-02, 4.443849874900104e+00, -4.087167877121978e-02, 3.010103996852197e-01
33, 2.171384239900000e+00, 4.225961822600000e-01, 8.422909609699999e-02, 4.509518109070411e+00, 9.046478956939552e-02, 2.958294518449872e-01
34, 2.183288382900000e+00, 4.004106620900000e-01, 8.892144072600000e-02, 4.698484591426727e+00, 4.683977542820266e-01, 2.954854821860817e-01
508, 2.152935905700000e+00, 4.379964129500000e-01, 7.752279227000000e-02, 4.635682241733706e+00, 3.427930548959850e-01, 2.947572151654484e-01
3361, 2.168688075300000e+00, 3.902718921400000e-01, 8.412262563700000e-02, 4.494778483843394e+00, 6.098553911536087e-02, 2.968517128323062e-01
3589, 2.143354981600000e+00, 4.255236382300000e-01, 7.456048750499999e-02, 4.644760697979617e+00, 3.609499673878069e-01, 3.049646740430517e-01
